Idade,Vínculo,Sexo,Ano_ingresso,Curso_grad,Programa_pós,Nível,Departamento,Setor,Origem_vist,Frequencia,Campus_agradavel,Impacto,Participação,Particip_fora,Interesse,Conhecimento,Compromisso,Transformador,Segurança,Alt_seg_noite,Distância,Modal_atecampus,S_Ilum,S_ag,S_equ,S_vias,S_cal,S_acess,S_sinal,S_ciclovias,Aplicativo,C_Acol,C_pert,C_Sau,C_atendaluno,C_PAPFE,C_moradia,C_cre,C_gen,C_etn,C_aces,C_Rucas,C_alim,C_conv,C_esp,C_estudo,C_int,C_infacd,C_orgtrans,C_qveic,C_visit,C_funcio,C_santi,C_mobl,C_aPSaude,Interesse_ativ
De 36 a 45 anos,Docente/Pesquisador,Feminino,2024.0,0,0,0, LCA,0,0,Diariamente (de segunda a domingo),Sim,Não,Não conheço,"Sim, no meu bairro/comunidade",Extremamente,Moderadamente,Moderadamente,Muito,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Carro,Regular,Regular,Regular,Bom,Bom,Não sei opinar,Bom,0,Não conheço,Ótimo,Bom,Não sei opinar,,0,0,Bom,Não sei opinar,Não sei opinar,Regular,0,Regular,Não sei opinar,Não sei opinar,0,Bom,Ótimo,Ótimo,Ótimo,Não sei opinar,Não sei opinar,Regular,Regular,Não sei opinar,Bastante
Mais de 66 anos,Docente/Pesquisador,Masculino,1996.0,0,0,0, LPV,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Muito,Muito,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",30.0,Carro,Ruim,Regular,Não sei opinar,Regular,Péssimo,Regular,Regular,0,Não conheço,Ótimo,Ótimo,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Regular,0,Ótimo,Ótimo,Ótimo,0,Bom,Não sei opinar,Bom,Ruim,Regular,Bom,Regular,Não sei opinar,Regular,Nenhum
De 56 a 65 anos,Docente/Pesquisador,Masculino,1989.0,0,0,0, LEB,0,0,Diariamente (de segunda a domingo),Sim,Não,"Conheço, mas não participei",Não,Moderadamente,Pouco,Moderadamente,Pouco,Seguro(a),"Não, continuo me sentindo seguro(a)",4.0,Carro,Regular,Regular,Regular,Regular,Ruim,Regular,Bom,0,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Bom,Bom,0,Regular,Bom,Não sei opinar,0,Bom,Bom,Regular,Regular,Regular,Bom,Ruim,Bom,Não sei opinar,Nenhum
De 56 a 65 anos,Docente/Pesquisador,Masculino,2010.0,0,0,0, LEB,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Muito,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",4.0,Carro,Ruim,Regular,Ruim,Regular,Regular,Bom,Bom,0,Conheço,Não sei opinar,Ótimo,Não sei opinar,,0,0,Bom,Não sei opinar,Não sei opinar,Bom,0,Regular,Não sei opinar,Bom,0,Bom,Bom,Bom,Ruim,Regular,Não sei opinar,Regular,Regular,Regular,Pouco
Mais de 66 anos,Docente/Pesquisador,Masculino,1993.0,0,0,0, LFN,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Moderadamente,Moderadamente,Moderadamente,Pouco,Seguro(a),"Não, continuo me sentindo seguro(a)",8.0,Carro,Regular,Regular,Não sei opinar,Regular,Regular,Regular,Regular,0,Não conheço,Regular,Ótimo,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Regular,0,Bom,Bom,Não sei opinar,0,Bom,Não sei opinar,Bom,Bom,Não sei opinar,Não sei opinar,Ruim,Não sei opinar,Bom,Nenhum
De 46 a 55 anos,Docente/Pesquisador,Masculino,2018.0,0,0,0, DVPROD,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,"Sim, em outros lugares",Muito,Moderadamente,Moderadamente,Pouco,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Carro,Regular,Péssimo,Regular,Péssimo,Péssimo,Péssimo,Péssimo,0,"Conheço, mas nunca utilizei",Péssimo,Ruim,Péssimo,,0,0,Péssimo,Péssimo,Péssimo,Regular,0,Péssimo,Péssimo,Péssimo,0,Bom,Bom,Bom,Bom,Péssimo,Péssimo,Péssimo,Péssimo,Regular,Bastante
De 56 a 65 anos,Docente/Pesquisador,Masculino,2024.0,0,0,0, LES,0,0,De uma à três vezes na semana,Sim,Não,"Conheço, mas não participei","Sim, em outros lugares",Muito,Moderadamente,Muito,Muito,Seguro(a),"Não, continuo me sentindo seguro(a)",2.0,Carro,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Não sei opinar,Ruim,0,Não conheço,Bom,Bom,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,0,Não sei opinar,Não sei opinar,Não sei opinar,0,Regular,Bom,Regular,Regular,Não sei opinar,Bom,Não sei opinar,Não sei opinar,Não sei opinar,Bastante
De 36 a 45 anos,Docente/Pesquisador,Feminino,2024.0,0,0,0, LES,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,"Sim, no meu bairro/comunidade",Extremamente,Muito,Extremamente,Extremamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",8.0,Carro,Bom,Bom,Bom,Bom,Regular,Péssimo,Ruim,0,Não conheço,Bom,Ótimo,Não sei opinar,,0,0,Não sei opinar,Bom,Bom,Bom,0,Ruim,Ruim,Não sei opinar,0,Ruim,Bom,Bom,Bom,Não sei opinar,Bom,Ruim,Bom,Não sei opinar,Pouco
De 46 a 55 anos,Docente/Pesquisador,Masculino,2008.0,0,0,0, LEB,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,Não,Muito,Moderadamente,Muito,Moderadamente,Muito seguro(a),"Não, continuo me sentindo seguro(a)",5.0,Carro,Ruim,Regular,,Bom,Bom,Ruim,Regular,0,"Conheço, mas nunca utilizei",Regular,Bom,Regular,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Bom,0,Regular,Ruim,Ótimo,0,Bom,Ótimo,Bom,Regular,Bom,Bom,Regular,Regular,Bom,Pouco
De 56 a 65 anos,Docente/Pesquisador,Masculino,2009.0,0,0,0, LEA,0,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, na instituição religiosa",Muito,Moderadamente,Moderadamente,Moderadamente,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",7.0,Carro,Ruim,Ruim,Regular,Péssimo,Ruim,Regular,Ruim,0,Não conheço,Regular,Regular,Regular,,0,0,Não sei opinar,Não sei opinar,Regular,Ruim,0,Péssimo,Regular,Ótimo,0,Regular,Regular,Regular,Regular,Bom,Regular,Ruim,Regular,Regular,Pouco
