Idade,Vínculo,Sexo,Ano_ingresso,Curso_grad,Programa_pós,Nível,Departamento,Setor,Origem_vist,Frequencia,Campus_agradavel,Impacto,Participação,Particip_fora,Interesse,Conhecimento,Compromisso,Transformador,Segurança,Alt_seg_noite,Distância,Modal_atecampus,S_Ilum,S_ag,S_equ,S_vias,S_cal,S_acess,S_sinal,S_ciclovias,Aplicativo,C_Acol,C_pert,C_Sau,C_atendaluno,C_PAPFE,C_moradia,C_cre,C_gen,C_etn,C_aces,C_Rucas,C_alim,C_conv,C_esp,C_estudo,C_int,C_infacd,C_orgtrans,C_qveic,C_visit,C_funcio,C_santi,C_mobl,C_aPSaude,Interesse_ativ
De 36 a 45 anos,Estudante de Graduação,Feminino,2022.0,Engenharia Agronômica,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Sim,Conheço e já participei,"Sim, em outros lugares",Extremamente,Pouco,Muito,Extremamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",4.0,Carro,Regular,Bom,Não sei opinar,Bom,Bom,Ruim,Ruim,Regular,"Conheço, mas nunca utilizei",Bom,Ruim,Não sei opinar,Bom,Não sei opinar,Não sei opinar,Não sei opinar,Ruim,Péssimo,Ruim,Bom,Não sei opinar,Ótimo,Não sei opinar,Ruim,Regular,Regular,,Péssimo,Péssimo,0,Péssimo,Bom,Não sei opinar,Bastante
De 18 a 25 anos,Estudante de Graduação,Feminino,2020.0,Ciências Biológicas,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,Não,Extremamente,Muito,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,Bicicleta,Ruim,Regular,Ruim,Regular,Péssimo,Péssimo,Ruim,Ruim,Conheço,Bom,Bom,Péssimo,Bom,Ruim,Regular,Ótimo,Bom,Ruim,Ruim,Péssimo,Bom,Ótimo,Ótimo,Bom,Regular,Ótimo,Regular,Regular,Bom,0,Ruim,Ruim,Bom,Bastante
De 18 a 25 anos,Estudante de Graduação,Prefiro não responder,2022.0,Ciências Econômicas,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Moderadamente,Pouco,Moderadamente,Pouco,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Carro,Regular,Bom,Ruim,Regular,Bom,Ruim,Bom,Regular,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,Bom,Não sei opinar,Não sei opinar,,Não sei opinar,Não sei opinar,Ruim,Regular,Regular,Ruim,Bom,Bom,Bom,Bom,Bom,Regular,Não sei opinar,0,Ruim,Regular,Bom,Pouco
De 18 a 25 anos,Estudante de Graduação,Masculino,2019.0,Engenharia Agronômica,0,0,0,0,0,Diariamente (de segunda a domingo),Sim,Em partes,Conheço e já participei,Não,Pouco,Pouco,Moderadamente,Muito,Seguro(a),"Não, continuo me sentindo seguro(a)",3.0,Moto,Ruim,Regular,Regular,Ruim,Ruim,Ruim,Péssimo,Ruim,"Conheço, mas nunca utilizei",Bom,Bom,Ruim,Ruim,Não sei opinar,Ruim,Péssimo,Não sei opinar,Não sei opinar,Ruim,Regular,Ruim,Não sei opinar,Bom,Bom,Regular,Bom,Regular,Ruim,Bom,0,Ruim,Regular,Regular,Pouco
De 18 a 25 anos,Estudante de Graduação,Masculino,2024.0,Administração,0,0,0,0,0,Diariamente (de segunda a domingo),Não,Não,Não conheço,"Sim, no meu bairro/comunidade",Extremamente,Moderadamente,Moderadamente,Pouco,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",0.0,Bicicleta,Ruim,Ótimo,Regular,Ruim,Ruim,Ruim,Péssimo,Ruim,"Conheço, mas nunca utilizei",Não sei opinar,Não sei opinar,Péssimo,Não sei opinar,Ótimo,Ruim,Não sei opinar,Péssimo,Não sei opinar,Ruim,Ruim,Não sei opinar,Ruim,Ótimo,Bom,Ruim,Ótimo,Péssimo,Péssimo,Não sei opinar,0,Não sei opinar,Ruim,Péssimo,Bastante
De 18 a 25 anos,Estudante de Graduação,Feminino,2021.0,Ciências Biológicas,0,0,0,0,0,Diariamente (de segunda a domingo),Sim,Sim,Conheço e já participei,"Sim, em outros lugares",Extremamente,Muito,Muito,Muito,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Ônibus,Péssimo,Regular,Péssimo,Bom,Péssimo,Péssimo,Péssimo,Péssimo,"Conheço, mas nunca utilizei",Regular,Regular,Ruim,Bom,Bom,Bom,Ótimo,Regular,Ruim,Péssimo,Péssimo,Ruim,Regular,Ótimo,Ótimo,Péssimo,Regular,Ruim,Péssimo,Bom,0,Péssimo,Regular,Bom,Bastante
De 26 a 35 anos,Estudante de Graduação,Feminino,2022.0,Gestão Ambiental,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu trabalho",Muito,Muito,Muito,Pouco,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Carro,Ruim,Regular,Ruim,Regular,Ruim,Regular,Péssimo,Regular,Não conheço,Regular,Regular,Ruim,Ruim,Não sei opinar,Não sei opinar,Não sei opinar,Ruim,Ruim,Regular,Ruim,Péssimo,Péssimo,Regular,Regular,Regular,Bom,Ruim,Péssimo,Péssimo,0,Ruim,Ruim,Não sei opinar,Pouco
De 18 a 25 anos,Estudante de Graduação,Feminino,2021.0,Engenharia Agronômica,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, na minha escola",Muito,Moderadamente,Moderadamente,Pouco,Muito seguro(a),"Não, continuo me sentindo seguro(a)",1.0,Carro,Regular,Não sei opinar,Não sei opinar,Ruim,Ruim,Ruim,Regular,Regular,Conheço,Bom,Bom,Ruim,Ruim,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Ruim,Ruim,Ruim,Regular,Não sei opinar,Ótimo,Ótimo,Ótimo,Regular,Ruim,Regular,0,Ruim,Regular,Não sei opinar,Pouco
De 18 a 25 anos,Estudante de Graduação,Feminino,2021.0,Ciências Biológicas,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Muito,Moderadamente,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",1.0,A pé,Ruim,Ótimo,Não sei opinar,Bom,Bom,Não sei opinar,Regular,Bom,"Conheço, mas nunca utilizei",Bom,Regular,Ruim,Regular,Ruim,Não sei opinar,Não sei opinar,Regular,Regular,Ótimo,Ótimo,Bom,Regular,Bom,Ótimo,Regular,Bom,Bom,Ótimo,Bom,0,Regular,Ótimo,Ruim,Pouco
De 18 a 25 anos,Estudante de Graduação,Masculino,2024.0,Engenharia Agronômica,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,"Conheço, mas não participei","Sim, na minha escola",Extremamente,Moderadamente,Muito,Muito,Muito seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",9.0,Carro,Péssimo,Regular,Regular,Ruim,Péssimo,Regular,Péssimo,Ruim,"Conheço, mas nunca utilizei",Ruim,Bom,Ruim,Ótimo,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Ruim,Bom,Ótimo,Bom,Bom,Bom,Regular,Bom,Regular,0,Ruim,Ruim,Não sei opinar,Pouco
De 18 a 25 anos,Estudante de Graduação,Feminino,2023.0,Engenharia Agronômica,0,0,0,0,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,Não,Muito,Pouco,Pouco,Pouco,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",1.0,A pé,Ruim,Regular,Não sei opinar,Regular,Bom,Não sei opinar,Bom,Regular,"Conheço, mas nunca utilizei",Regular,Bom,Péssimo,Regular,Bom,Não sei opinar,Não sei opinar,Ruim,Não sei opinar,Não sei opinar,Bom,Regular,Regular,Não sei opinar,Bom,Bom,Regular,Não sei opinar,Regular,Bom,0,Não sei opinar,Bom,Regular,Bastante
De 18 a 25 anos,Estudante de Graduação,Feminino,2024.0,Engenharia Agronômica,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,"Conheço, mas não participei","Sim, em outros lugares",Muito,Pouco,Pouco,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",20.0,Carro,Regular,Regular,Regular,Bom,Ruim,Bom,Ruim,Regular,"Conheço, mas nunca utilizei",Bom,Ótimo,Regular,Bom,Ruim,Ótimo,Não sei opinar,Regular,Regular,Bom,Ótimo,Regular,Regular,Ótimo,Bom,Bom,Ótimo,Regular,Bom,Regular,0,Regular,Ruim,Não sei opinar,Bastante
De 18 a 25 anos,Estudante de Graduação,Masculino,2022.0,Engenharia Agronômica,0,0,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,"Conheço, mas não participei",Não,Moderadamente,Muito,Pouco,Pouco,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",1.0,Bicicleta,Ruim,Regular,Regular,Regular,Péssimo,Regular,Ruim,Ruim,"Conheço, mas nunca utilizei",Bom,Ótimo,Regular,Bom,Não sei opinar,Bom,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Bom,Regular,Regular,Não sei opinar,Ótimo,Bom,Regular,Não sei opinar,Não sei opinar,Não sei opinar,0,Ruim,Bom,Não sei opinar,Pouco
De 18 a 25 anos,Estudante de Graduação,Feminino,2023.0,Ciências Biológicas,0,0,0,0,0,Diariamente (de segunda a domingo),Sim,Em partes,Conheço e já participei,"Sim, em outros lugares",Extremamente,Muito,Muito,Moderadamente,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",1.0,A pé,Ruim,Bom,Não sei opinar,Ruim,Regular,Não sei opinar,Ruim,Não sei opinar,"Conheço, mas nunca utilizei",Regular,Bom,Regular,Bom,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Bom,Regular,Regular,Ruim,Bom,Bom,0,Ruim,Não sei opinar,Ruim,Bastante
