Idade,Vínculo,Sexo,Ano_ingresso,Curso_grad,Programa_pós,Nível,Departamento,Setor,Origem_vist,Frequencia,Campus_agradavel,Impacto,Participação,Particip_fora,Interesse,Conhecimento,Compromisso,Transformador,Segurança,Alt_seg_noite,Distância,Modal_atecampus,S_Ilum,S_ag,S_equ,S_vias,S_cal,S_acess,S_sinal,S_ciclovias,Aplicativo,C_Acol,C_pert,C_Sau,C_atendaluno,C_PAPFE,C_moradia,C_cre,C_gen,C_etn,C_aces,C_Rucas,C_alim,C_conv,C_esp,C_estudo,C_int,C_infacd,C_orgtrans,C_qveic,C_visit,C_funcio,C_santi,C_mobl,C_aPSaude,Interesse_ativ
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,2023.0,0,Engenharia de Sistemas Agrícolas,Mestrado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,"Sim, na minha escola",Extremamente,Muito,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",3.0,Ônibus,Ruim,Regular,Regular,Ruim,Bom,Ruim,Bom,Péssimo,Conheço,Bom,Regular,Ruim,Regular,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Ruim,Bom,Bom,Bom,Bom,Ótimo,Ótimo,Bom,Bom,Regular,Ótimo,0,Bom,Bom,Ótimo,Pouco
De 18 a 25 anos,Estudante de Pós Graduação,Masculino,2024.0,0,CENA,Doutorado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, no meu trabalho",Extremamente,Extremamente,Extremamente,Extremamente,Seguro(a),"Não, continuo me sentindo seguro(a)",2.0,A pé,Regular,Regular,Ruim,Péssimo,Ruim,Ruim,Ruim,Bom,"Conheço, mas nunca utilizei",Bom,Ótimo,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Regular,Regular,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,0,Regular,Regular,Regular,Bastante
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,2022.0,0,Genética e Melhoramento de Plantas,Doutorado,0,0,0,Diariamente (de segunda a domingo),Sim,Não,Não conheço,"Sim, na minha escola",Extremamente,Moderadamente,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,A pé,Ruim,Ruim,Ruim,Regular,Regular,Ruim,Ruim,Ruim,"Conheço, mas nunca utilizei",Ruim,Péssimo,Ruim,Ruim,Ruim,Ruim,Ruim,Ruim,Ruim,Ruim,Regular,Ruim,Ruim,Regular,Regular,Regular,Regular,Ruim,Ruim,Regular,0,Ruim,,Ruim,Bastante
De 26 a 35 anos,Estudante de Pós Graduação,Masculino,2022.0,0,Solos e Nutrição de Plantas,Mestrado,0,0,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, na instituição religiosa",Extremamente,Extremamente,Extremamente,Extremamente,Seguro(a),"Não, continuo me sentindo seguro(a)",2.0,Carro,Ótimo,Ótimo,Ótimo,Bom,Ótimo,Ótimo,Regular,Bom,"Conheço, mas nunca utilizei",Bom,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Não sei opinar,Não sei opinar,Não sei opinar,Ótimo,Não sei opinar,Péssimo,Regular,Ótimo,Ótimo,Bom,Não sei opinar,Bom,Bom,Não sei opinar,0,Ruim,Ótimo,Não sei opinar,Bastante
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,2020.0,0,Ecologia Aplicada,Doutorado,0,0,0,De uma à três vezes na semana,Sim,Não,Conheço e já participei,"Sim, em outros lugares",Extremamente,Extremamente,Extremamente,Extremamente,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,A pé,Ruim,Regular,Regular,Regular,Regular,Ruim,Ruim,Regular,Não conheço,Ruim,Regular,Péssimo,Ruim,Ruim,Ruim,Regular,Péssimo,Péssimo,Ruim,Ruim,Ruim,Regular,Regular,Bom,Regular,Bom,Bom,Regular,Ruim,0,Péssimo,Ruim,Ruim,Bastante
De 36 a 45 anos,Estudante de Pós Graduação,Masculino,2022.0,0,Estatística e Experimentação Agronômica,Doutorado,0,0,0,Diariamente (de segunda a domingo),Sim,Não,"Conheço, mas não participei",Não,Moderadamente,Extremamente,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,A pé,Regular,Bom,Regular,Regular,Regular,Bom,Ótimo,Regular,Conheço,Bom,Ótimo,Péssimo,Péssimo,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Regular,Regular,Péssimo,Regular,Ótimo,Bom,Regular,Não sei opinar,Ótimo,,Não sei opinar,0,Ruim,Regular,Bom,Não sei responder
De 26 a 35 anos,Estudante de Pós Graduação,Masculino,2023.0,0,Fitotecnia,Doutorado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Extremamente,Moderadamente,Muito,Moderadamente,Seguro(a),"Não, continuo me sentindo seguro(a)",60.0,Carro,Bom,Regular,Não sei opinar,Bom,Bom,Não sei opinar,Péssimo,Regular,"Conheço, mas nunca utilizei",Bom,Regular,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Bom,Bom,Não sei opinar,Não sei opinar,Bom,Ótimo,Ótimo,Bom,Regular,Não sei opinar,0,Regular,Não sei opinar,Bom,Bastante
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,2024.0,0,Entomologia,Doutorado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, no meu bairro/comunidade",Extremamente,Extremamente,Extremamente,Extremamente,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",3.0,Carro,Regular,Ruim,Ruim,Regular,Ruim,Péssimo,Regular,Ruim,"Conheço, mas nunca utilizei",Regular,Regular,Ruim,Bom,Bom,Não sei opinar,Bom,Péssimo,Péssimo,Ruim,Regular,Ruim,Ruim,Bom,Bom,Bom,Ótimo,Regular,Regular,Péssimo,0,Péssimo,Ruim,Regular,Bastante
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,,0,Ecologia Aplicada,Doutorado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Extremamente,Extremamente,Extremamente,Extremamente,Seguro(a),"Não, continuo me sentindo seguro(a)",2.0,Carro,Regular,Bom,Não sei opinar,Ótimo,Ótimo,Bom,Bom,Ruim,Conheço,Bom,Ótimo,Regular,Bom,Regular,Não sei opinar,Não sei opinar,Regular,Regular,Regular,Regular,Não sei opinar,Regular,Não sei opinar,Ótimo,Ótimo,Regular,Ótimo,Ruim,Regular,0,Péssimo,Bom,Bom,Pouco
De 26 a 35 anos,Estudante de Pós Graduação,Feminino,2024.0,0,Genética e Melhoramento de Plantas,Doutorado,0,0,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Muito,Muito,Moderadamente,Muito Pouco,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",4.0,Carro,Ruim,Regular,Não sei opinar,Ruim,Regular,Não sei opinar,Regular,Regular,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,Bom,Bom,Não sei opinar,Bom,Ótimo,Ótimo,Bom,Bom,Bom,Regular,Não sei opinar,0,Ruim,Não sei opinar,Bom,Bastante
