Idade,Vínculo,Sexo,Ano_ingresso,Curso_grad,Programa_pós,Nível,Departamento,Setor,Origem_vist,Frequencia,Campus_agradavel,Impacto,Participação,Particip_fora,Interesse,Conhecimento,Compromisso,Transformador,Segurança,Alt_seg_noite,Distância,Modal_atecampus,S_Ilum,S_ag,S_equ,S_vias,S_cal,S_acess,S_sinal,S_ciclovias,Aplicativo,C_Acol,C_pert,C_Sau,C_atendaluno,C_PAPFE,C_moradia,C_cre,C_gen,C_etn,C_aces,C_Rucas,C_alim,C_conv,C_esp,C_estudo,C_int,C_infacd,C_orgtrans,C_qveic,C_visit,C_funcio,C_santi,C_mobl,C_aPSaude,Interesse_ativ
De 26 a 35 anos,Servidor Técnico-Administrativo,Prefiro não responder,,0,0,0,0,ESALQ/SVAPESQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, em outros lugares",Extremamente,Moderadamente,Extremamente,Muito,Seguro(a),Não frequento o Campus no período noturno,8.0,Carro,Ruim,Não sei opinar,Não sei opinar,Bom,Bom,Ruim,Regular,0,"Conheço, mas nunca utilizei",Bom,Bom,Bom,,0,0,Não sei opinar,Regular,Regular,Não sei opinar,0,Bom,Bom,Bom,0,Bom,Bom,Bom,Não sei opinar,Não sei opinar,Não sei opinar,Ruim,Ótimo,Não sei opinar,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,PUSP-LQ/DVMANOPER,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Muito,Muito,Moderadamente,Seguro(a),"Não, continuo me sentindo seguro(a)",3.0,Carro,Ruim,Ruim,Regular,Bom,Regular,Ruim,Péssimo,0,Conheço,Bom,Ótimo,Bom,,0,0,Não sei opinar,Ruim,Ruim,Ruim,0,Ruim,Péssimo,Ótimo,0,Bom,Não sei opinar,Regular,Péssimo,Regular,Ótimo,Péssimo,Regular,Péssimo,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/SCGECCP,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,"Conheço, mas não participei",Não,Extremamente,Extremamente,Extremamente,Muito,Muito seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",45.0,Carro,Ótimo,Ótimo,Não sei opinar,Ótimo,Ótimo,Bom,Bom,0,Não conheço,Ótimo,Bom,Ótimo,,0,0,Não sei opinar,Regular,Regular,Bom,0,Regular,Bom,Não sei opinar,0,Bom,Não sei opinar,Bom,Ruim,Não sei opinar,Bom,Ruim,Bom,Bom,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/SVAPESQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, em outros lugares",Extremamente,Muito,Extremamente,Extremamente,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Carro,Péssimo,Péssimo,Ruim,Bom,Bom,Regular,Regular,0,Não conheço,Regular,Bom,Ruim,,0,0,Bom,Regular,Regular,Regular,0,Ruim,Ruim,Regular,0,Regular,Regular,Regular,Regular,Bom,Regular,Regular,Regular,Bom,Bastante
De 46 a 55 anos,Servidor Técnico-Administrativo,0,,0,0,0,0,ESALQ,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,,Moderadamente,Moderadamente,Muito,Muito,Seguro(a),,10.0,Carro,Bom,,Regular,Regular,Ótimo,Bom,Regular,0,"Conheço, mas nunca utilizei",Bom,Bom,Bom,,0,0,Bom,Bom,Bom,Bom,0,Bom,Bom,Bom,0,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Regular,Não sei responder
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/LFN,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, em outros lugares",Moderadamente,Moderadamente,Moderadamente,Pouco,Inseguro(a),Não frequento o Campus no período noturno,6.0,Moto,Bom,Ruim,Bom,Regular,Péssimo,Não sei opinar,Regular,0,"Conheço, mas nunca utilizei",Ruim,Regular,Regular,,0,0,Péssimo,Bom,Bom,Ruim,0,Péssimo,Ruim,Não sei opinar,0,Regular,Regular,Regular,Ruim,Regular,Regular,Ruim,Regular,Ruim,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Moderadamente,Moderadamente,Moderadamente,Moderadamente,Indiferente,Não frequento o Campus no período noturno,30.0,Carro,Bom,Regular,Regular,Regular,Regular,Regular,Bom,0,"Conheço, mas nunca utilizei",Regular,Regular,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Regular,0,Ruim,Não sei opinar,Não sei opinar,0,Bom,Bom,Bom,Regular,Bom,Bom,Não sei opinar,Regular,Regular,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,CENA/Diretoria,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Muito,Muito,Muito,Indiferente,"Não, continuo me sentindo seguro(a)",10.0,Carro,Regular,Regular,Ruim,Regular,Regular,Regular,Ruim,0,"Conheço, mas nunca utilizei",Bom,Regular,Ruim,,0,0,Não sei opinar,Bom,Bom,Bom,0,Regular,Bom,Bom,0,Regular,Bom,Ruim,Regular,Regular,Regular,Ruim,Regular,Regular,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LCF,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,Não,Pouco,Muito Pouco,Pouco,Muito Pouco,Muito inseguro(a),"Não, continuo me sentindo seguro(a)",8.0,Carro,Ruim,Regular,Ruim,Bom,Bom,Ruim,Péssimo,0,"Conheço, mas nunca utilizei",Ruim,Ruim,Péssimo,,0,0,Não sei opinar,Ruim,Ruim,Ruim,0,Péssimo,Péssimo,Péssimo,0,Ótimo,Ótimo,Ótimo,Ótimo,Péssimo,Ruim,Ruim,Péssimo,Regular,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LZT,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, em outros lugares",Muito,Moderadamente,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",8.0,Carro,Regular,Bom,Regular,Regular,Ruim,Regular,Ruim,0,Conheço,Bom,Regular,Não sei opinar,,0,0,Não sei opinar,Bom,Bom,Regular,0,Ruim,Regular,Não sei opinar,0,Ótimo,Ótimo,Bom,Bom,Bom,Bom,Ruim,Bom,Regular,Bastante
